year,sex,age,collection_method,sample_acquisition,outbreak,harvest_date,sample_date,permit_area,pls
2010,Female,Adult,2010 Firearms season,Hunter harvested,Olmsted,11/27/2010,11/27/2010,343,T108 R15 S22
2016,Male,Adult,2016 Firearms season,Hunter harvested,Fillmore,11/5/2016,11/5/2016,348,T103 R10 S29
2016,Male,Yearling,2016 Firearms season,Hunter harvested,Fillmore,11/11/2016,11/12/2016,348,T103 R10 S20
2016,Male,Adult,2016 Firearms season thru Taxidermist,Hunter harvested,Fillmore,11/18/2016,12/5/2016,348,T104 R10 S22
2017,Female,Adult,2017 Special Late hunt,Hunter harvested,Fillmore,12/31/2016,12/31/2016,603,T103 R10 S27
2017,Female,Adult,2017 Special Late hunt,Hunter harvested,Fillmore,12/31/2016,12/31/2016,603,T103 R10 S27
2017,Female,Adult,2017 Special Late hunt,Hunter harvested,Fillmore,1/7/2017,1/7/2017,603,T103 R10 S32
2017,Male,Adult,Found Dead,Found dead,Fillmore,1/18/2017,1/18/2017,603,T103 R10 S31
2017,Female,Adult,2017 Landowner Shooting Permit,Shooting permit,Fillmore,1/21/2017,1/21/2017,603,T102 R10 S04
2017,Female,Adult,2017 Landowner Shooting Permit,Shooting permit,Fillmore,2/11/2017,2/11/2017,603,T103 R10 S22
2017,Male,Adult,2017 Agency Culled,Agency culled,Fillmore,2/25/2017,2/26/2017,603,T102 R10 S04
2017,Female,Adult,2017 Agency Culled,Agency culled,Fillmore,3/3/2017,3/4/2017,603,T103 R10 S29
2017,Male,Yearling,2017 Firearms season,Hunter harvested,Fillmore,11/3/2017,11/4/2017,,T102 R10 S09
2017,Male,Adult,2017 Firearms season,Hunter harvested,Fillmore,11/3/2017,11/3/2017,,T102 R12 S13
2017,Male,Adult,2017 Firearms season,Hunter harvested,Fillmore,11/4/2017,11/4/2017,,T102 R12 S12
2017,Male,Adult,2017 Firearms season,Hunter harvested,Fillmore,11/3/2017,11/3/2017,,T103 R10 S33
2017,Male,Adult,2017 Firearms season,Hunter harvested,Fillmore,11/5/2017,11/6/2017,,T103 R10 S20
2017,Female,Adult,2017 Firearms season,Hunter harvested,Fillmore,11/10/2017,11/10/2017,,T102 R10 S17
2018,Male,Adult,2018 Archery Season (Headbox),Hunter harvested,Fillmore,9/14/2018,9/16/2018,,T103 R10 S32
2018,Male,Adult,2018 Archery Season (Taxidermist),Hunter harvested,Fillmore,10/10/2018,10/14/2018,603,T103 R10 S32
2018,Male,Adult,Found Dead,Found dead,Fillmore,10/21/2018,10/21/2018,603,T103 R10 S33
2018,Male,Adult,2018 Fall Hunter Harvest,Hunter harvested,Fillmore,11/2/2018,11/2/2018,,T102 R12 S12
2018,Male,Adult,2018 Fall Hunter Harvest,Hunter harvested,Fillmore,11/2/2018,11/3/2018,347,T104 R12 S09
2018,Male,Adult,2018 Fall Hunter Harvest (Taxidermist),Hunter harvested,Fillmore,11/3/2018,,603,T104 R11 S34
2018,Male,Yearling,Hunter Harvest,Hunter harvested,Fillmore,11/9/2018,11/10/2018,,T101 R11 S10
2018,Male,Adult,Hunter Harvest,Hunter harvested,Fillmore,11/9/2018,11/9/2018,,T103 R10 S17
2018,Male,Adult,Hunter Harvest,Hunter harvested,Fillmore,11/9/2018,11/9/2018,,T103 R10 S23
2018,Male,Adult,Found Dead,Found dead,Fillmore,11/10/2018,11/10/2018,,T103 R10 S33
2018,Male,Adult,2018 Fall Hunter Harvest,Hunter harvested,Fillmore,11/16/2018,11/16/2018,603,T104 R10 S35
2018,Female,Adult,2018 Fall Hunter Harvest,Hunter harvested,Fillmore,11/22/2018,11/23/2018,603,T104 R10 S35
2018,Male,Adult,2018 Fall Hunter Harvest,Hunter harvested,Houston/Winona,11/16/2018,11/16/2018,346,T104 R06 S03
